District,Percentage,Land Area,Towers Inside,var6,var4
Adalar,0.0,0.0,0,0.0,0.0
Gaziosmanpaşa,16.04005963,11.635,10,96.24035778,8.77027798
Ümraniye,6.479119651,45.157,6,54.914777536,7.973988219428572
Sultangazi,6.224748369,37.227,6,59.867669495,8.658887070714286
Kağıthane,4.490735515,15.601,6,55.68834074,8.000051534285713
Çekmeköy,4.043839255,152.02,6,57.497698695,8.648299813571429
Pendik,4.005152887,189.979,5,45.269360112,8.178156685333333
Üsküdar,3.936535219,35.37,4,42.38368734,8.618217468000001
Arnavutköy,3.919244435,478.518,5,39.991729486,8.260348247666666
Sarıyer,3.668358484,174.241,4,37.914922700000005,8.279948540000001
Sancaktepe,3.565086963,64.408,4,36.919812803,7.6415945606
Şişli,3.098000567,10.904,3,33.677228503,8.47382712575
Beykoz,2.755847787,311.755,4,30.785777171,7.404175434200001
Kadıköy,2.726274144,25.132,3,29.444938665000002,7.48689466625
Esenyurt,2.6807446,42.92,3,28.229677061000004,7.272019265250001
Başakşehir,2.60261966,105.969,3,26.876585058,7.2489912645
Kartal,2.536954892,38.405,2,25.987215542999998,8.918438514333333
Maltepe,2.528757999,53.963,2,25.719141290000003,8.932800430000002
Ataşehir,2.488843467,26.102,2,25.282137953000003,8.601392651000001
Eyüpsultan,2.123290462,,0,22.89691879,
Bağcılar,2.085248866,22.496,2,22.189340016000003,7.546420005333334
Sultanbeyli,1.886778511,29.065,2,20.54681186,7.042703953333333
Küçükçekmece,1.797501791,44.832,2,19.369172052,6.755270684
Beşiktaş,1.508496897,17.992,1,16.943801011999998,8.651820505999998
Esenler,1.493015893,18.306,1,16.236121423,8.3011207115
Avcılar,1.206324814,52.174,1,13.923741975999999,7.483610988
Bahçelievler,1.205897818,16.537,1,13.240726302999999,6.7857331515
Beyoğlu,0.989308084,8.969,1,11.349583926000001,5.764481963000001
Beylikdüzü,0.886183173,37.729,1,10.211645647000001,5.483112823500001
Silivri,0.866176497,870.009,3,9.484772871,6.721238217750001
Tuzla,0.848204389,125.478,1,9.036791906,5.773175953
Şile,0.784984909,782.227,2,8.299781596999999,7.981440532333333
Çatalca,0.784741691,1136.737,3,8.093999113999999,7.7071847785
Fatih,0.724783822,16.507,0,7.632810418,7.962950418
Büyükçekmece,0.723410635,161.067,1,7.483178621,5.3522593105
Bayrampaşa,0.698174968,9.663,0,7.206970865000001,7.400230865000001
Güngören,0.636317691,7.305,0,6.749017262000001,6.895117262
Zeytinburnu,0.611460171,11.362,0,6.451448142,6.678688142
Bakırköy,0.348775397,29.409,0,4.762015847,5.350195847
